country,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021
Armenia,16.879020584501966,16.451453108405836,18.44445936830128,15.90556845566396,17.973207806473425,16.554719824724252,16.3371637736079,17.3950512650433,16.444947976602965,17.68102251582029,17.640457492617646,17.166952365119833,16.41585702084876,19.53899034307724,20.238817541086046,19.092949015779386,19.01513657818213,19.48471053240737,17.376262107580917,20.413923086373842,18.972192798023908,19.766497879424406,19.48275000587807,19.508372062910905
Aruba,3.1599999999999997,4.42,3.03,3.15,2.89,4.0,3.82,4.31,3.6599999999999997,3.7699999999999996,4.19,3.22,5.99,4.15,3.82,3.3,2.82,2.92,3.76,3.82,3.2300000000000004,3.89,3.49,3.31
Australia,3.873182515317837,3.9195670113956926,3.7167683035961443,4.335868610779997,4.533351107893677,5.481977132152553,3.899191685922222,3.590601233049712,4.8755322209059715,4.055731027352954,3.5031755255973906,4.593420556772156,3.726345995052068,3.937366087561249,3.8281638602808745,4.326330252955268,4.455628621995612,4.150311562201537,3.812201555262898,4.042978366679658,3.798876572475904,7.628784884899472,5.271305437266954,3.6169942492859883
Austria,16.37643082016879,16.058437443236873,15.204439826866134,16.56053546689535,17.810033966154265,18.13537337110227,16.279096582001685,18.67874304634122,18.343254619547785,13.918426998258983,13.307834899348498,14.618472225317111,16.108261294384963,15.999061038015402,13.299370510296985,14.629569825819496,12.5620404294134,12.69963821392116,11.862570815059405,12.338438308681114,12.77747611025017,9.799141636871301,9.825839646349547,10.67753980199446
Azerbaijan,15.968115873186179,15.284046481549794,14.476895356989056,11.709755569893549,12.909051089140343,12.429739310806355,11.588186830570496,12.882326196834505,12.718918837329273,12.918831854054263,12.01224456532123,12.293642324577197,12.324121846152035,12.529867785421988,13.373236994763365,11.647191139316783,12.173667661671068,11.882809921825283,12.184288107419322,13.10953168557469,10.870017673943279,13.5586683059009,11.812178033771362,12.40068459732206
Bahamas,6.970840743150438,5.620633569483603,4.965915835321333,4.3812439456372445,4.352458583339358,4.304741499795176,4.492585273139113,4.960369496855346,4.834419955902552,4.3179729933251405,3.479498993951662,3.532522440299766,4.1805971228222365,4.179071363165377,3.6542434155039882,3.066763144895057,3.2239097628858535,2.98308055615798,3.5264021422202947,3.697237553916962,3.4612653919371557,3.5210765319646256,3.30660904479626,3.791424522277645
Bahrain,13.076854948655686,13.75987790731693,17.298321860097715,13.221123475029987,14.024128697229454,13.920404303560456,13.191281223486733,14.191322642696234,16.08430759047424,15.957893083877009,17.746190954038795,19.951460080161493,20.332823183932593,18.502929712413327,20.664928322752406,17.338386142886396,17.815959048886807,19.199649629911356,17.22561606594307,21.144576358210703,19.83340856762529,19.265145248822446,17.17924627717153,17.92176817530207
Bangladesh,45.3910018053478,45.68055616325761,51.31559211317923,53.6592699622056,53.42351147135815,54.97610482436768,54.44181888920596,59.48223588037266,64.13141571857034,62.009049034673204,65.24239535496567,70.40497539732002,65.87824416672062,69.93176494108394,70.66909553173842,65.78935528398716,68.81007923585483,65.14595958048797,65.38005756603826,63.05932820182858,75.78148643113026,66.99702865517092,75.59101197295152,73.9579835040009
Barbados,2.3248741427222535,2.9635768937395626,2.4748393979818477,3.026449416832718,2.5014076996226464,2.8416354221620366,2.583993998635748,2.8675769071804678,2.725830059912836,2.5696644141949405,2.670771944798201,3.0660303294029885,3.7182778503960026,2.673053572088616,2.9462926286714675,2.3552202460357727,2.1827571329204734,2.3658901407598814,2.6912967113464763,2.877786249281751,2.5263679985483827,2.4025921122046783,2.3249963877566793,2.519060547918508
Belarus,17.448630161164306,18.06222677419782,15.953885838994616,16.089792010382318,19.330892202402232,15.85895457047131,16.130839751565958,15.627647832823486,16.295471351422933,14.633633795505409,15.288575712261466,16.780072483413456,17.627093900123157,15.628413635797811,15.174701415650292,15.866676049951666,15.62160889489227,13.771286734734417,13.052668086289778,13.247294132665898,13.974968496550263,11.711110267106328,11.112047852952474,12.752634725146663
